"","col","col","col","col","col","col","col","col","col"
"1",9,7,10,3,4,4,6.5,6.5,6.5
"2",12,8,7,8,4,4,9,6,6
"3",9,8,11,7,12,5,12,6.5,6
"4",8,3,4,1,7,9,5.5,5.5,6.5
"5",11,10,12,6,4,12,5.5,6.5,6.5
"6",4,4,8,11,2.5,6,5,6.5,6.5
"7",5,12,6,7,12,6,5,6.5,6.5
"8",2,8,10,4,3,5,6,6,6
"9",10,3,3,11,2,4.5,6,6.5,6.5
"10",9,10,9,2,1.5,6.5,11,6,12
"11",2,11,10,7,7,7,6,6.5,6.5
"12",6,7,4,3,11,7,12,6.5,6.5
"13",11,10,12,10,4,5,6.5,10,6.5
"14",9,4,7,12,3.5,11,5.5,6.5,6.5
"15",8,2,11,8,4,7,6,6.5,6.5
"16",6,6,11,4,2,11,4.5,6,6.5
"17",7,12,9,7,6,1.5,5,6.5,6.5
"18",11,3,8,9,12,10,5.5,6.5,6.5
"19",2,7,3,1,3.5,10,6.5,12,6.5
"20",2,10,7,9,9,4.5,5,6.5,6.5
"21",1,2,10,6,7,8,12,6.5,6
"22",6,6,8,2,4,5,6.5,6.5,6.5
"23",10,8,7,12,4,10,5,11,6.5
"24",7,5,9,4,2,7,6,6.5,6.5
"25",6,3,3,11,8,10,6,6,6.5
"26",2,5,10,10,2,12,5.5,5.5,6.5
"27",8,11,7,1.5,3,4,6,5.5,6.5
"28",7,5,6,2,4,10,6,6.5,6.5
"29",3,10,6,8,3,4.5,5.5,6.5,6.5
"30",11,2,11,8,5,9,9,6.5,6.5
"31",2,1,8,11,8,5.5,10,6.5,6.5
"32",9,7,6,7,11,4,6,6.5,6.5
"33",6,6,5,5,3,9,4,6.5,6.5
"34",6,11,10,7,1,11,5.5,6.5,6.5
"35",1,4,2,6,2.5,3.5,6.5,5.5,6.5
"36",7,12,4,10,1.5,1,5,6.5,6.5
"37",3,9,9,10,2,3.5,4.5,6.5,6.5
"38",3,10,7,5,9,5.5,6,5.5,6.5
"39",1,5,1,3,2,12,6,6,6.5
"40",4,4,10,11,6,7,3.5,6.5,6.5
"41",6,3,1,2.5,9,7,6,6,6.5
"42",11,7,1,2.5,7,4.5,12,6,6.5
"43",4,8,11,2,9,5.5,6,6.5,6.5
"44",2,7,3,7,9,4.5,6.5,6,6.5
"45",9,5,5,5,7,4,12,5.5,6.5
"46",5,8,3,11,1,4.5,5.5,5.5,6.5
"47",5,3,11,5,1.5,5,5.5,6,6.5
"48",8,9,3,8,9,5,6.5,6.5,6.5
"49",2,10,9,12,4,5,12,6.5,6.5
"50",7,4,8,11,10,5,5.5,6,6.5
"51",7,6,2,10,5.5,11,11,6.5,6.5
"52",9,7,12,10,6,10,11,6,6.5
"53",3,2,9,8,8,10,9,6.5,6.5
"54",11,4,7,5,4,1.5,6,5.5,6.5
"55",6,10,4,7,4,3,5,6.5,6.5
"56",7,6,12,11,10,9,5.5,6,6.5
"57",2,6,6,1,7,2.5,4.5,6,6.5
"58",2,2,9,8,2,5.5,5,6.5,6.5
"59",4,2,6,6,4,12,5.5,6.5,6.5
"60",7,3,8,10,6,6,6,6.5,6.5
"61",10,7,5,9,7,3.5,5.5,11,6.5
"62",3,2,6,10,4,3,5.5,9,6.5
"63",2,3,9,8,1.5,8,5,6.5,6.5
"64",5,6,10,5,3,8,4.5,6,6.5
"65",4,4,2,10,12,3,6.5,12,6.5
"66",8,4,2,7,2,12,6.5,6.5,6.5
"67",3,5,3,2,11,4,5.5,6.5,6.5
"68",11,6,3,8,2,8,5,6.5,6.5
"69",8,7,4,2,9,4.5,5.5,6.5,6.5
"70",9,9,2,10,5,10,12,6.5,6.5
"71",4,8,8,7,6,10,5,5.5,6.5
"72",8,11,8,1,12,4.5,9,6.5,6
"73",5,4,5,10,6,9,5.5,6.5,6.5
"74",6,7,8,6,7,4,4.5,6,6.5
"75",7,11,1,12,7,11,5.5,6,6.5
"76",10,4,11,2,6,4.5,6,6.5,6.5
"77",3,7,4,11,8,4.5,6.5,12,6.5
"78",2,1,11,8,3,6,6,6.5,6.5
"79",9,11,2,11,11,2.5,6,6.5,6.5
"80",11,3,5,8,12,4,5,6.5,6.5
"81",8,6,10,11,5,4.5,6,6.5,6.5
"82",2,9,10,3,12,7,5.5,6.5,6.5
"83",6,8,7,8,11,5,5.5,6.5,6.5
"84",10,9,7,10,9,4,4.5,6.5,6.5
"85",12,1,10,4,6,4,6.5,6,6.5
"86",8,4,1,7,8,6,5,6.5,6.5
"87",4,6,5,8,8,12,5.5,6,6.5
"88",4,2,7,3,5,2,5,6.5,6.5
"89",3,8,3,2,8,4,4.5,6.5,6.5
"90",6,11,4,11,6,6,5.5,6.5,6.5
"91",4,10,2,9,11,4.5,5.5,6.5,6
"92",9,6,9,7,3.5,2.5,5,12,6.5
"93",4,3,3,3,9,5.5,5.5,5.5,6.5
"94",2,5,8,2,3,12,6,6,6.5
"95",3,2,8,10,10,12,11,5.5,6.5
"96",6,3,3,6,1,10,6.5,6.5,6.5
"97",3,10,8,4,5,7,6,6.5,6
"98",4,2,10,1.5,2.5,12,10,6,6
"99",3,12,3,10,6,9,6.5,6.5,6.5
"100",8,8,5,9,11,4,5.5,5.5,6.5
